;total;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;eg_proc;ee_proc;mg_proc;me_proc;lg_proc;le_proc
Phleum;12374;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum;0;706;0;11125;418;125;0;5.904984945;0;93.04951489;100;1.045500167
Poa;861634;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa;2748;62353;6229;737285;761;52258;28.21934689;7.319320668;63.96590676;86.54636247;7.814746354;6.134316865
Poaceae unidentified;202968;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;unidentified;18325;5098;46885;61241;1759;69660;107.1058913;9.662904318;89.53499475;113.6918523;3.359113912;76.64524342
Chelidonium;1072;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Papaveraceae;Chelidonium;0;0;0;1072;0;0;NA;0;NA;100;NA;0
Anemone;21294;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Anemone;21294;0;0;0;0;0;100;NA;0;NA;0;NA
Callianthemum;3050;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Callianthemum;0;300;1059;1691;0;0;0;15.06780512;100;84.93219488;0;0
Ficaria;1502;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ficaria;0;1502;0;0;0;0;NA;100;NA;0;NA;0
Ranunculus;509025;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;58468;22110;231904;51918;15484;129141;19.11618539;10.88256575;75.82130153;25.55409536;5.062513078;63.5633389
Frangula;69637;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rhamnaceae;Frangula;0;1520;55795;0;9096;3226;0;32.02697008;85.98264782;0;14.01735218;67.97302992
Agrimonia;146346;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Agrimonia;90722;3537;14540;0;37547;0;63.52680853;100;10.18143114;0;26.29176032;0
Comarum;12306;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Comarum;0;234;0;12072;0;0;NA;1.901511458;NA;98.09848854;NA;0
Crataegus;21680;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Crataegus;5169;0;15695;0;816;0;23.84225092;NA;72.39391144;NA;3.763837638;NA
Filipendula;606785;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Filipendula;42534;400261;18419;10472;0;135099;69.78163503;73.33043867;30.21836497;1.918539038;0;24.75102229
Fragaria;16672;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Fragaria;0;0;0;0;16672;0;0;NA;0;NA;100;NA
Geum;1986886;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Geum;278155;826899;704013;53404;82989;41426;26.11399071;89.71172655;66.09476349;5.793893867;7.791245798;4.494379584
Malus;225568;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Malus;4385;15211;8999;44677;117314;34982;3.355062817;16.03351955;6.88533872;47.09286392;89.75959846;36.87361653
Potentilla;6988499;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;254163;110966;2221943;3234559;662744;504124;8.097328639;2.88249656;70.78844163;84.02217968;21.11422973;13.09532376
Prunus;5866832;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;23448;276604;2602404;312390;1868160;783826;0.521760957;20.14859923;57.90825659;22.7553503;41.56998246;57.09605047
Rosa;4691216;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;117039;2195059;758424;59145;1256060;305489;5.490862637;85.75477606;35.58131908;2.310628657;58.92781828;11.93459528
Rosaceae unidentified;23898;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;unidentified;0;3738;0;19610;0;550;0;128.8258153;0;175.5448057;0;95.62937902
Rubus;59903369;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;19567013;9904019;2754786;7169069;12634881;7873601;55.97503253;39.70073544;7.880571038;28.73755712;36.14439644;31.56170745
Sorbus;56623;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;0;19216;2120;357;16310;18620;0;50.31288456;11.50298426;0.934726259;88.49701574;48.75238918
Urtica;15187;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;7946;1585;2385;0;3271;0;58.41787972;100;17.53418615;0;24.04793413;0
Acer;1937;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;0;1782;155;0;0;0;0;100;100;0;0;0
Hylotelephium;1088;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Crassulaceae;Hylotelephium;0;0;0;0;1088;0;0;NA;0;NA;100;NA
Convolvulus;8760;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;0;3489;434;4837;0;0;0;41.90487629;100;58.09512371;0;0
Cupressaceae unidentified;370;Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;unidentified;0;370;0;0;0;0;0;300;0;0;0;0
Juniperus;13169;Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Juniperus;0;10500;0;0;1516;1153;0;90.10555222;0;0;100;9.894447782
Picea;979;Viridiplantae;Streptophyta;Pinopsida;NOID;Pinaceae;Picea;0;979;0;0;0;0;NA;100;NA;0;NA;0
Pinus;483;Viridiplantae;Streptophyta;Pinopsida;NOID;Pinaceae;Pinus;0;483;0;0;0;0;NA;100;NA;0;NA;0
Taxus;7527;Viridiplantae;Streptophyta;Pinopsida;NOID;Taxaceae;Taxus;0;7527;0;0;0;0;NA;100;NA;0;NA;0
